Geo,Year,PropSovDvmtDiverted
Harney,2050,0.375
Hood River,2050,0.375
Jackson,2050,0.36
Jefferson,2050,0.375
Josephine,2050,0.4335
Klamath,2050,0.375
Lake,2050,0.375
Lane,2050,0.315
Lincoln,2050,0.375
Linn,2050,0.42
Malheur,2050,0.375
Marion,2050,0.33
Morrow,2050,0.375
Multnomah,2050,0.102
Polk,2050,0.375
Sherman,2050,0.375
Tillamook,2050,0.375
Umatilla,2050,0.375
Union,2050,0.375
Wallowa,2050,0.375
Wasco,2050,0.375
Washington,2050,0.2145
Wheeler,2050,0.375
Yamhill,2050,0.375
